project_id,month,true_reduction_tCO2,reported_reduction_tCO2,issued_credits,buffer_credits,retired_credits,overcrediting_tCO2,delivery_risk_flag,price_usd,gross_revenue_usd
P0001,2024-01-01,47.46,59.612,53.609,6.003,5.384,12.152,0,8.82,47.49
P0001,2024-02-01,47.845,55.194,49.636,5.558,29.672,7.349,0,8.15,241.83
P0001,2024-03-01,48.311,54.93,49.399,5.531,12.533,6.619,0,8.04,100.77
P0001,2024-04-01,48.854,63.671,57.259,6.412,28.712,14.817,0,8.98,257.83
P0001,2024-05-01,49.468,55.722,50.111,5.611,13.24,6.254,0,8.27,109.49
P0001,2024-06-01,50.144,60.722,54.607,6.115,16.574,10.577,0,8.9,147.51
P0001,2024-07-01,50.877,58.74,52.825,5.915,7.979,7.863,0,8.69,69.34
P0001,2024-08-01,51.657,65.313,58.736,6.577,29.315,13.655,0,8.08,236.87
P0001,2024-09-01,52.476,65.727,59.109,6.619,18.031,13.251,0,9.43,170.03
P0001,2024-10-01,53.325,53.766,48.352,5.414,26.433,0.441,0,8.12,214.64
P0001,2024-11-01,54.193,70.173,63.107,7.066,16.963,15.98,0,9.09,154.19
P0001,2024-12-01,55.071,64.092,57.638,6.454,28.939,9.021,0,9.04,261.61
P0002,2020-01-01,858.461,1250.986,1150.657,100.329,589.794,392.526,0,6.15,3627.23
P0002,2020-02-01,872.148,1324.467,1218.245,106.222,446.168,452.319,0,6.46,2882.25
P0002,2020-03-01,885.68,1349.532,1241.3,108.233,547.66,463.852,0,5.75,3149.04
P0002,2020-04-01,898.904,1261.092,1159.953,101.14,293.092,362.188,0,5.61,1644.25
P0002,2020-05-01,911.67,1348.921,1240.737,108.183,554.946,437.251,0,5.01,2780.28
P0002,2020-06-01,923.833,1333.209,1226.286,106.923,652.57,409.377,0,6.84,4463.58
P0002,2020-07-01,935.255,1292.412,1188.761,103.651,182.432,357.158,0,6.32,1152.97
P0002,2020-08-01,945.806,1155.594,1062.916,92.679,526.779,209.788,0,8.04,4235.3
P0002,2020-09-01,955.369,1313.876,1208.503,105.373,284.499,358.507,0,5.94,1689.92
P0002,2020-10-01,963.833,1075.88,989.594,86.286,252.625,112.047,0,7.19,1816.37
P0002,2020-11-01,971.103,1247.325,1147.289,100.035,399.27,276.222,0,7.07,2822.84
P0002,2020-12-01,977.097,1474.574,1356.313,118.261,811.984,497.477,0,6.49,5269.78
P0002,2021-01-01,981.747,1365.518,1256.004,109.515,163.853,383.771,0,6.28,1029.0
P0002,2021-02-01,985.0,1348.199,1240.073,108.126,336.051,363.198,0,6.45,2167.53
P0002,2021-03-01,986.819,1268.829,1167.069,101.76,411.774,282.009,0,6.23,2565.35
P0002,2021-04-01,987.184,1271.088,1169.147,101.941,498.255,283.904,0,6.78,3378.17
P0002,2021-05-01,986.091,1286.397,1183.228,103.169,395.372,300.306,0,6.44,2546.2
P0002,2021-06-01,983.551,1213.611,1116.279,97.332,445.918,230.06,0,7.22,3219.53
P0002,2021-07-01,979.594,1122.498,1032.473,90.024,230.53,142.904,0,6.7,1544.55
P0002,2021-08-01,974.264,1437.981,1322.655,115.326,583.018,463.717,0,6.75,3935.37
P0002,2021-09-01,967.623,1488.387,1369.018,119.369,649.88,520.764,0,7.94,5160.05
P0002,2021-10-01,959.744,1256.356,1155.596,100.76,248.68,296.612,0,6.63,1648.75
P0002,2021-11-01,950.718,1378.056,1267.536,110.52,320.71,427.337,0,6.18,1981.99
P0002,2021-12-01,940.647,1175.372,1081.107,94.265,427.766,234.725,0,7.39,3161.19
P0002,2022-01-01,929.644,1308.695,1203.738,104.957,467.079,379.051,0,6.3,2942.6
P0002,2022-02-01,917.835,1132.743,1041.897,90.846,428.943,214.908,0,7.43,3187.05
P0002,2022-03-01,905.353,1325.117,1218.842,106.274,244.828,419.763,0,7.91,1936.59
P0002,2022-04-01,892.34,1229.59,1130.977,98.613,340.074,337.25,0,7.41,2519.95
P0002,2022-05-01,878.943,1094.346,1006.579,87.767,290.861,215.402,0,7.43,2161.1
P0002,2022-06-01,865.314,1235.182,1136.12,99.062,581.458,369.868,0,6.24,3628.3
P0002,2022-07-01,851.607,1309.477,1204.457,105.02,405.676,457.869,0,7.86,3188.61
P0002,2022-08-01,837.978,1150.638,1058.357,92.281,304.103,312.66,0,7.81,2375.04
P0002,2022-09-01,824.581,1128.384,1037.888,90.496,247.856,303.803,0,6.92,1715.16
P0002,2022-10-01,811.568,1114.77,1025.365,89.405,357.166,303.202,0,8.83,3153.78
P0002,2022-11-01,799.086,1106.766,1018.003,88.763,501.138,307.68,0,6.99,3502.95
P0002,2022-12-01,787.277,1178.955,1084.403,94.552,174.327,391.678,0,6.77,1180.19
P0002,2023-01-01,776.275,1165.674,1072.187,93.487,388.351,389.4,0,6.74,2617.49
P0002,2023-02-01,766.203,889.965,818.589,71.375,335.479,123.761,0,7.9,2650.28
P0002,2023-03-01,757.177,1130.709,1040.026,90.683,612.398,373.531,0,8.13,4978.8
P0002,2023-04-01,749.299,1013.134,931.881,81.253,401.268,263.836,0,8.25,3310.46
P0002,2023-05-01,742.657,1143.085,1051.41,91.675,538.326,400.428,0,7.83,4215.09
P0002,2023-06-01,737.328,1045.92,962.037,83.883,340.281,308.592,0,7.6,2586.14
P0002,2023-07-01,733.371,1077.146,990.759,86.387,178.565,343.775,0,8.64,1542.8
P0002,2023-08-01,730.831,965.425,887.998,77.427,156.519,234.595,0,7.65,1197.37
P0002,2023-09-01,729.737,903.736,831.257,72.48,217.2,173.999,0,7.51,1631.17
P0002,2023-10-01,730.102,1019.554,937.786,81.768,341.948,289.452,0,9.13,3121.99
P0002,2023-11-01,731.921,1075.133,988.907,86.226,309.968,343.212,0,8.45,2619.23
P0002,2023-12-01,735.174,1063.12,977.858,85.262,285.227,327.946,0,8.67,2472.92
P0002,2024-01-01,739.824,1073.3,987.221,86.079,559.875,333.475,0,8.82,4938.1
P0002,2024-02-01,745.818,1040.417,956.975,83.441,55.876,294.598,0,8.15,455.39
P0002,2024-03-01,753.089,1087.702,1000.468,87.234,221.284,334.613,0,8.04,1779.12
P0002,2024-04-01,761.553,982.199,903.427,78.772,576.15,220.646,0,8.98,5173.83
P0002,2024-05-01,771.115,1047.134,963.154,83.98,371.255,276.019,0,8.27,3070.28
P0002,2024-06-01,781.667,950.841,874.584,76.257,233.434,169.174,0,8.9,2077.56
P0002,2024-07-01,793.089,1084.02,997.082,86.938,211.545,290.931,0,8.69,1838.33
P0002,2024-08-01,805.252,1079.978,993.364,86.614,442.617,274.726,0,8.08,3576.35
P0002,2024-09-01,818.017,1126.871,1036.496,90.375,448.52,308.853,0,9.43,4229.54
P0002,2024-10-01,831.241,1227.45,1129.009,98.442,503.793,396.209,0,8.12,4090.8
P0002,2024-11-01,844.774,1164.559,1071.162,93.398,204.769,319.786,0,9.09,1861.35
P0002,2024-12-01,858.461,928.324,853.872,74.452,311.14,69.863,0,9.04,2812.71
P0003,2020-01-01,299.21,323.352,281.252,42.1,118.944,24.142,0,6.15,731.51
P0003,2020-02-01,303.981,409.351,356.053,53.297,128.166,105.37,1,6.46,827.95
P0003,2020-03-01,308.697,384.888,334.776,50.112,92.759,76.191,0,5.75,533.36
P0003,2020-04-01,313.306,420.215,365.503,54.712,162.356,106.909,1,5.61,910.82
P0003,2020-05-01,317.756,395.995,344.437,51.559,115.018,78.24,0,5.01,576.24
P0003,2020-06-01,321.995,367.163,319.358,47.805,114.027,45.168,0,6.84,779.94
P0003,2020-07-01,325.976,346.841,301.682,45.159,86.009,20.865,0,6.32,543.58
P0003,2020-08-01,329.654,366.964,319.186,47.779,106.222,37.311,0,8.04,854.02
P0003,2020-09-01,332.987,391.291,340.345,50.946,143.522,58.304,0,5.94,852.52
P0003,2020-10-01,335.937,447.872,389.559,58.313,177.857,111.935,0,7.19,1278.79
P0003,2020-11-01,338.471,436.862,379.983,56.879,134.206,98.391,0,7.07,948.84
P0003,2020-12-01,340.56,428.042,372.311,55.731,136.877,87.482,0,6.49,888.33
P0003,2021-01-01,342.181,470.561,409.294,61.267,136.217,128.38,0,6.28,855.44
P0003,2021-02-01,343.314,356.807,310.35,46.456,144.391,13.492,0,6.45,931.32
P0003,2021-03-01,343.948,380.729,331.158,49.571,100.831,36.781,0,6.23,628.18
P0003,2021-04-01,344.076,381.948,332.218,49.73,106.827,37.872,0,6.78,724.29
P0003,2021-05-01,343.694,423.82,368.639,55.181,136.386,80.126,0,6.44,878.33
P0003,2021-06-01,342.809,362.427,315.239,47.188,96.145,19.617,0,7.22,694.17
P0003,2021-07-01,341.43,398.438,346.562,51.877,135.995,57.008,0,6.7,911.17
P0003,2021-08-01,339.572,463.535,403.183,60.352,224.301,123.963,0,6.75,1514.03
P0003,2021-09-01,337.258,447.806,389.502,58.304,138.672,110.549,0,7.94,1101.06
P0003,2021-10-01,334.512,462.813,402.555,60.258,215.607,128.302,0,6.63,1429.47
P0003,2021-11-01,331.366,387.368,336.932,50.435,158.527,56.002,0,6.18,979.7
P0003,2021-12-01,327.855,367.853,319.958,47.894,121.593,39.998,0,7.39,898.57
P0003,2022-01-01,324.02,406.306,353.405,52.901,156.332,82.285,0,6.3,984.89
P0003,2022-02-01,319.905,362.434,315.245,47.189,168.2,42.53,0,7.43,1249.73
P0003,2022-03-01,315.554,384.231,334.204,50.027,85.559,68.677,0,7.91,676.77
P0003,2022-04-01,311.018,377.278,328.156,49.122,145.838,66.26,0,7.41,1080.66
P0003,2022-05-01,306.349,392.453,341.356,51.097,173.91,86.104,0,7.43,1292.15
P0003,2022-06-01,301.599,414.045,360.136,53.909,97.1,112.446,0,6.24,605.9
P0003,2022-07-01,296.821,405.955,353.1,52.855,184.324,109.134,0,7.86,1448.79
P0003,2022-08-01,292.071,386.13,335.856,50.274,147.598,94.059,0,7.81,1152.74
P0003,2022-09-01,287.402,346.695,301.556,45.14,78.887,59.294,0,6.92,545.9
P0003,2022-10-01,282.866,366.092,318.427,47.665,132.185,83.226,0,8.83,1167.19
P0003,2022-11-01,278.515,331.08,287.974,43.107,54.081,52.565,0,6.99,378.03
P0003,2022-12-01,274.4,311.373,270.832,40.541,57.136,36.973,0,6.77,386.81
P0003,2023-01-01,270.565,290.283,252.488,37.795,44.444,19.718,0,6.74,299.55
P0003,2023-02-01,267.054,312.226,271.574,40.652,105.726,45.172,0,7.9,835.24
P0003,2023-03-01,263.908,337.374,293.448,43.926,91.476,73.466,0,8.13,743.7
P0003,2023-04-01,261.162,338.756,294.65,44.106,78.037,77.593,0,8.25,643.81
P0003,2023-05-01,258.848,318.894,277.374,41.52,81.049,60.046,0,7.83,634.61
P0003,2023-06-01,256.99,330.685,287.63,43.055,99.309,73.695,0,7.6,754.75
P0003,2023-07-01,255.611,299.207,260.25,38.957,81.924,43.596,0,8.64,707.82
P0003,2023-08-01,254.726,355.828,309.499,46.329,91.153,101.102,0,7.65,697.32
P0003,2023-09-01,254.344,316.245,275.07,41.175,102.88,61.901,0,7.51,772.63
P0003,2023-10-01,254.472,304.275,264.658,39.617,63.35,49.803,0,9.13,578.39
P0003,2023-11-01,255.106,330.535,287.499,43.036,83.085,75.429,0,8.45,702.07
P0003,2023-12-01,256.239,310.747,270.288,40.459,133.659,54.508,0,8.67,1158.82
P0003,2024-01-01,257.86,325.558,283.171,42.388,112.246,67.698,0,8.82,990.01
P0003,2024-02-01,259.949,358.49,311.815,46.675,42.358,98.541,0,8.15,345.22
P0003,2024-03-01,262.483,301.054,261.856,39.197,141.846,38.57,0,8.04,1140.44
P0003,2024-04-01,265.433,318.749,277.248,41.501,69.599,53.316,0,8.98,625.0
P0003,2024-05-01,268.766,325.502,283.122,42.38,156.884,56.736,0,8.27,1297.43
P0003,2024-06-01,272.444,336.272,292.489,43.783,107.119,63.827,0,8.9,953.36
P0003,2024-07-01,276.425,393.049,341.874,51.175,161.105,116.624,0,8.69,1400.0
P0003,2024-08-01,280.664,371.064,322.751,48.312,45.103,90.399,0,8.08,364.43
P0003,2024-09-01,285.114,388.573,337.981,50.592,87.832,103.459,0,9.43,828.26
P0003,2024-10-01,289.723,281.563,244.904,36.66,67.371,0.0,0,8.12,547.05
P0003,2024-11-01,294.439,377.446,328.303,49.143,93.433,83.007,0,9.09,849.31
P0003,2024-12-01,299.21,376.987,327.903,49.084,84.457,77.777,0,9.04,763.49
P0004,2020-01-01,37.486,52.604,43.13,9.474,19.828,15.119,0,6.15,121.94
P0004,2020-02-01,38.084,61.37,50.318,11.053,20.427,23.287,0,6.46,131.96
P0004,2020-03-01,38.674,50.856,41.697,9.159,15.885,12.182,0,5.75,91.34
P0004,2020-04-01,39.252,50.997,41.813,9.185,8.599,11.745,0,5.61,48.24
P0004,2020-05-01,39.809,58.015,47.567,10.449,21.669,18.206,0,5.01,108.56
P0004,2020-06-01,40.34,63.6,52.145,11.454,5.469,23.259,0,6.84,37.41
P0004,2020-07-01,40.839,58.847,48.249,10.598,14.143,18.008,0,6.32,89.38
P0004,2020-08-01,41.3,54.444,44.638,9.805,26.466,13.144,0,8.04,212.79
P0004,2020-09-01,41.717,68.849,56.45,12.4,11.119,27.132,0,5.94,66.05
P0004,2020-10-01,42.087,57.18,46.882,10.298,7.049,15.093,0,7.19,50.68
P0004,2020-11-01,42.405,64.254,52.682,11.572,13.19,21.849,0,7.07,93.25
P0004,2020-12-01,42.666,67.276,55.16,12.116,22.256,24.61,0,6.49,144.44
P0004,2021-01-01,42.869,61.879,50.735,11.144,17.712,19.01,0,6.28,111.23
P0004,2021-02-01,43.011,64.25,52.678,11.571,25.068,21.238,0,6.45,161.69
P0004,2021-03-01,43.091,68.092,55.829,12.263,20.333,25.002,0,6.23,126.67
P0004,2021-04-01,43.107,56.352,46.203,10.149,10.857,13.245,0,6.78,73.61
P0004,2021-05-01,43.059,65.098,53.374,11.724,24.926,22.039,0,6.44,160.52
P0004,2021-06-01,42.948,66.611,54.615,11.997,15.935,23.663,0,7.22,115.05
P0004,2021-07-01,42.775,66.661,54.655,12.006,23.856,23.886,0,6.7,159.84
P0004,2021-08-01,42.543,59.263,48.589,10.673,25.328,16.72,0,6.75,170.96
P0004,2021-09-01,42.253,62.49,51.235,11.254,21.403,20.237,0,7.94,169.94
P0004,2021-10-01,41.909,57.726,47.33,10.397,24.186,15.818,0,6.63,160.35
P0004,2021-11-01,41.514,57.079,46.799,10.28,10.127,15.565,1,6.18,62.58
P0004,2021-12-01,41.075,55.118,45.191,9.927,13.969,14.043,0,7.39,103.23
P0004,2022-01-01,40.594,60.733,49.795,10.938,18.959,20.139,0,6.3,119.44
P0004,2022-02-01,40.078,58.257,47.765,10.492,10.571,18.179,0,7.43,78.54
P0004,2022-03-01,39.533,61.131,50.121,11.01,25.832,21.597,0,7.91,204.33
P0004,2022-04-01,38.965,46.718,38.304,8.414,19.327,7.753,0,7.41,143.21
P0004,2022-05-01,38.38,51.667,42.362,9.305,17.601,13.287,0,7.43,130.78
P0004,2022-06-01,37.785,55.419,45.438,9.981,19.574,17.634,0,6.24,122.14
P0004,2022-07-01,37.187,59.715,48.96,10.755,16.917,22.528,0,7.86,132.97
P0004,2022-08-01,36.591,49.906,40.918,8.988,9.661,13.315,0,7.81,75.45
P0004,2022-09-01,36.006,45.367,37.197,8.171,10.734,9.361,0,6.92,74.28
P0004,2022-10-01,35.438,48.812,40.021,8.791,13.253,13.374,0,8.83,117.02
P0004,2022-11-01,34.893,49.82,40.848,8.973,15.851,14.927,0,6.99,110.8
P0004,2022-12-01,34.378,52.126,42.738,9.388,14.763,17.748,0,6.77,99.95
P0004,2023-01-01,33.897,52.462,43.014,9.448,16.948,18.565,0,6.74,114.23
P0004,2023-02-01,33.457,50.414,41.335,9.08,8.534,16.957,0,7.9,67.42
P0004,2023-03-01,33.063,47.186,38.688,8.498,10.566,14.123,0,8.13,85.9
P0004,2023-04-01,32.719,53.772,44.087,9.684,16.81,21.053,0,8.25,138.68
P0004,2023-05-01,32.429,44.38,36.387,7.993,17.257,11.951,0,7.83,135.12
P0004,2023-06-01,32.196,46.261,37.929,8.332,6.478,14.064,0,7.6,49.23
P0004,2023-07-01,32.024,47.891,39.266,8.625,15.736,15.867,0,8.64,135.96
P0004,2023-08-01,31.913,44.248,36.279,7.969,16.228,12.335,0,7.65,124.14
P0004,2023-09-01,31.865,45.079,36.96,8.119,13.094,13.214,0,7.51,98.34
P0004,2023-10-01,31.881,47.848,39.231,8.617,14.568,15.967,0,9.13,133.01
P0004,2023-11-01,31.96,43.095,35.333,7.761,11.126,11.134,0,8.45,94.01
P0004,2023-12-01,32.102,45.561,37.356,8.206,13.349,13.459,0,8.67,115.74
P0004,2024-01-01,32.305,45.955,37.679,8.277,11.989,13.65,0,8.82,105.74
P0004,2024-02-01,32.567,54.127,44.379,9.748,8.243,21.56,0,8.15,67.18
P0004,2024-03-01,32.885,49.97,40.971,9.0,21.323,17.086,0,8.04,171.44
P0004,2024-04-01,33.254,45.6,37.388,8.213,14.933,12.346,0,8.98,134.1
P0004,2024-05-01,33.672,50.967,41.788,9.179,12.574,17.295,0,8.27,103.99
P0004,2024-06-01,34.133,45.588,37.377,8.21,19.329,11.455,0,8.9,172.03
P0004,2024-07-01,34.631,51.314,42.072,9.242,13.885,16.683,0,8.69,120.66
P0004,2024-08-01,35.162,44.947,36.852,8.095,16.113,9.785,0,8.08,130.19
P0004,2024-09-01,35.72,54.014,44.286,9.728,7.405,18.295,0,9.43,69.83
P0004,2024-10-01,36.297,51.713,42.399,9.313,12.401,15.415,0,8.12,100.7
P0004,2024-11-01,36.888,48.325,39.622,8.703,19.361,11.437,0,9.09,175.99
P0004,2024-12-01,37.486,55.56,45.553,10.006,24.342,18.074,0,9.04,220.05
P0005,2020-01-01,859.628,1061.877,943.584,118.293,364.247,202.25,0,6.15,2240.12
P0005,2020-02-01,873.333,1077.982,957.895,120.087,498.096,204.649,0,6.46,3217.7
P0005,2020-03-01,886.884,1206.847,1072.404,134.443,515.541,319.963,0,5.75,2964.36
P0005,2020-04-01,900.126,1151.105,1022.872,128.233,172.821,250.979,0,5.61,969.53
P0005,2020-05-01,912.909,1117.533,993.04,124.493,398.486,204.625,0,5.01,1996.41
P0005,2020-06-01,925.088,1118.7,994.077,124.623,478.327,193.612,0,6.84,3271.76
P0005,2020-07-01,936.526,1254.716,1114.94,139.775,185.8,318.19,0,6.32,1174.26
P0005,2020-08-01,947.092,960.956,853.905,107.05,218.905,13.864,0,8.04,1760.0
P0005,2020-09-01,956.667,1270.495,1128.962,141.533,864.182,313.828,0,5.94,5133.24
P0005,2020-10-01,965.143,1102.559,979.734,122.825,357.068,137.416,0,7.19,2567.32
P0005,2020-11-01,972.423,1208.924,1074.25,134.674,323.68,236.501,0,7.07,2288.42
P0005,2020-12-01,978.425,1142.242,1014.996,127.246,363.683,163.816,0,6.49,2360.3
P0005,2021-01-01,983.081,1177.508,1046.334,131.174,263.788,194.427,0,6.28,1656.59
P0005,2021-02-01,986.339,1153.808,1025.274,128.534,376.564,167.47,0,6.45,2428.84
P0005,2021-03-01,988.161,822.175,730.585,91.59,278.683,0.0,0,6.23,1736.2
P0005,2021-04-01,988.526,1067.44,948.527,118.913,303.826,78.914,0,6.78,2059.94
P0005,2021-05-01,987.431,1096.074,973.972,122.103,510.867,108.644,0,6.44,3289.98
P0005,2021-06-01,984.888,1042.204,926.102,116.102,518.271,57.316,0,7.22,3741.92
P0005,2021-07-01,980.925,983.935,874.324,109.61,419.212,3.01,0,6.7,2808.72
P0005,2021-08-01,975.589,1211.109,1076.191,134.918,282.15,235.52,0,6.75,1904.51
P0005,2021-09-01,968.938,1052.68,935.412,117.269,273.426,83.742,0,7.94,2171.0
P0005,2021-10-01,961.049,1152.272,1023.909,128.363,198.015,191.223,0,6.63,1312.84
P0005,2021-11-01,952.01,1244.965,1106.276,138.689,444.627,292.954,0,6.18,2747.79
P0005,2021-12-01,941.925,1017.231,903.911,113.319,269.042,75.305,0,7.39,1988.22
P0005,2022-01-01,930.908,1088.991,967.677,121.314,278.017,158.083,0,6.3,1751.51
P0005,2022-02-01,919.083,1195.956,1062.726,133.229,289.342,276.873,0,7.43,2149.81
P0005,2022-03-01,906.584,1048.366,931.578,116.788,356.178,141.783,0,7.91,2817.37
P0005,2022-04-01,893.553,1027.274,912.836,114.438,339.927,133.721,0,7.41,2518.86
P0005,2022-05-01,880.138,857.356,761.846,95.509,164.173,0.0,0,7.43,1219.81
P0005,2022-06-01,866.49,1144.598,1017.09,127.508,545.481,278.108,0,6.24,3403.8
P0005,2022-07-01,852.765,990.138,879.837,110.301,329.434,137.374,0,7.86,2589.35
P0005,2022-08-01,839.117,881.93,783.683,98.247,148.916,42.813,0,7.81,1163.03
P0005,2022-09-01,825.702,1048.16,931.395,116.765,424.403,222.458,0,6.92,2936.87
P0005,2022-10-01,812.671,928.318,824.904,103.415,206.767,115.647,0,8.83,1825.75
P0005,2022-11-01,800.172,941.777,836.863,104.914,478.744,141.604,0,6.99,3346.42
P0005,2022-12-01,788.347,881.731,783.506,98.225,403.511,93.384,0,6.77,2731.77
P0005,2023-01-01,777.33,977.335,868.46,108.875,364.138,200.005,0,6.74,2454.29
P0005,2023-02-01,767.245,959.589,852.69,106.898,541.35,192.344,0,7.9,4276.66
P0005,2023-03-01,758.206,862.19,766.142,96.048,189.257,103.984,0,8.13,1538.66
P0005,2023-04-01,750.317,889.63,790.525,99.105,309.053,139.313,0,8.25,2549.69
P0005,2023-05-01,743.666,995.312,884.435,110.878,285.391,251.646,0,7.83,2234.61
P0005,2023-06-01,738.33,885.305,786.682,98.623,193.984,146.976,0,7.6,1474.28
P0005,2023-07-01,734.367,835.701,742.604,93.097,148.422,101.334,0,8.64,1282.37
P0005,2023-08-01,731.824,968.898,860.963,107.935,420.458,237.074,0,7.65,3216.5
P0005,2023-09-01,730.729,817.545,726.471,91.075,236.233,86.816,0,7.51,1774.11
P0005,2023-10-01,731.094,870.703,773.706,96.996,185.115,139.608,0,9.13,1690.1
P0005,2023-11-01,732.916,778.842,692.079,86.763,201.183,45.926,0,8.45,1700.0
P0005,2023-12-01,736.174,806.753,716.88,89.872,521.141,70.579,0,8.67,4518.29
P0005,2024-01-01,740.83,835.621,742.533,93.088,265.291,94.791,0,8.82,2339.87
P0005,2024-02-01,746.832,925.143,822.082,103.061,221.463,178.311,0,8.15,1804.92
P0005,2024-03-01,754.112,970.736,862.596,108.14,281.89,216.624,0,8.04,2266.4
P0005,2024-04-01,762.588,868.75,771.971,96.779,383.171,106.162,0,8.98,3440.88
P0005,2024-05-01,772.163,971.796,863.538,108.258,293.643,199.633,0,8.27,2428.43
P0005,2024-06-01,782.729,919.156,816.762,102.394,270.063,136.427,0,8.9,2403.56
P0005,2024-07-01,794.167,995.681,884.763,110.919,305.128,201.514,0,8.69,2651.56
P0005,2024-08-01,806.346,891.016,791.757,99.259,229.674,84.67,0,8.08,1855.77
P0005,2024-09-01,819.129,991.945,881.442,110.503,283.727,172.816,0,9.43,2675.55
P0005,2024-10-01,832.371,972.665,864.31,108.355,448.32,140.294,0,8.12,3640.36
P0005,2024-11-01,845.922,1012.855,900.023,112.832,293.574,166.934,0,9.09,2668.59
P0005,2024-12-01,859.628,1232.319,1095.039,137.28,374.938,372.692,0,9.04,3389.44
P0006,2020-01-01,41.081,39.974,31.895,8.079,15.906,0.0,0,6.15,97.82
